state,month,enroll,year,eligible_pop,takeup,elig2018,takeup_static,ncsl_year,dem_house_seats,total_house_seats,dem_share_house,dem_senate_seats,total_senate_seats,dem_share_sen,dem_margin,dem_control,sen_margin,gov_dem,mood,expanded,expansion_date,post_expansion,covid,year_f,restrictive_waiver
Maryland,2015-01-01,1166594.0,2015,844483.0,138.1429821559463,793697,146.98228669126883,2015,90.0,141.0,0.6382978723404256,32.0,47.0,0.6808510638297872,0.13829787234042556,1.0,0.18085106382978722,0.0,0.60825,1,2014-01-01,1.0,0.0,2015,0.0
Massachusetts,2015-01-01,1639502.0,2015,1090664.0,150.32145555368106,972871,168.522034267647,2015,123.0,160.0,0.76875,34.0,40.0,0.85,0.26875000000000004,1.0,0.35,0.0,0.6036666666666667,1,2014-01-01,1.0,0.0,2015,0.0
Michigan,2015-01-01,2275118.0,2015,2195668.0,103.61848876970473,1999842,113.76488742610667,2015,47.0,110.0,0.42727272727272725,11.0,38.0,0.2894736842105263,-0.07272727272727275,0.0,-0.21052631578947367,0.0,0.5045416666666667,1,2014-04-01,1.0,0.0,2015,0.0
Minnesota,2015-01-01,1041975.0,2015,856676.0,121.62999780547139,814317,127.9569258654799,2015,62.0,134.0,0.4626865671641791,39.0,67.0,0.582089552238806,-0.03731343283582089,0.0,0.08208955223880599,1.0,0.4929583333333334,1,2014-01-01,1.0,0.0,2015,0.0
Mississippi,2015-01-01,718683.0,2015,915481.0,78.50332229724046,831252,86.45789724415701,2015,56.0,122.0,0.45901639344262296,20.0,52.0,0.38461538461538464,-0.04098360655737704,0.0,-0.11538461538461536,0.0,0.41975,0,,0.0,0.0,2015,0.0
Missouri,2015-01-01,863651.0,2015,1285226.0,67.19837600546519,1199818,71.98183391147658,2015,44.0,163.0,0.26993865030674846,9.0,34.0,0.2647058823529412,-0.23006134969325154,0.0,-0.23529411764705882,1.0,0.40958333333333335,1,2021-07-01,0.0,0.0,2015,0.0
Montana,2015-01-01,170740.0,2015,216457.0,78.8794079193558,210360,81.16562084046397,2015,41.0,100.0,0.41,21.0,50.0,0.42,-0.09000000000000002,0.0,-0.08000000000000002,1.0,0.38549999999999995,1,2016-01-01,0.0,0.0,2015,0.0
Nevada,2015-01-01,541334.0,2015,639200.0,84.68929912390489,595228,90.94565443829927,2015,17.0,42.0,0.40476190476190477,10.0,21.0,0.47619047619047616,-0.09523809523809523,0.0,-0.023809523809523836,0.0,0.498,1,2014-01-01,1.0,0.0,2015,0.0
New Hampshire,2015-01-01,169747.0,2015,158072.0,107.38587479123439,155659,109.05055281095215,2015,160.0,400.0,0.4,10.0,24.0,0.4166666666666667,-0.09999999999999998,0.0,-0.08333333333333331,1.0,0.49824999999999997,1,2014-08-15,1.0,0.0,2015,0.0
New Jersey,2015-01-01,1667815.0,2015,1422722.0,117.22704787020936,1255020,132.89150770505648,2015,48.0,80.0,0.6,24.0,40.0,0.6,0.09999999999999998,1.0,0.09999999999999998,0.0,0.5642083333333333,1,2014-01-01,1.0,0.0,2015,0.0
