state,ncsl_year,dem_house_seats,total_house_seats
Pennsylvania,2023,102,203
Rhode Island,2023,64,75
South Carolina,2023,36,124
South Dakota,2023,7,70
Tennessee,2023,24,99
Texas,2023,64,150
Utah,2023,14,75
Vermont,2023,104,150
Virginia,2023,48,100
Washington,2023,58,98
West Virginia,2023,12,100
Wisconsin,2023,35,99
Wyoming,2023,5,62
